IDC;CNPJ Cliente;Desc estab;UF do Cliente;Cod Item Cliente;Desc Item Cliente;Marca Cliente;Cod Item;Desc Item;Marca da resposta;Qtd.;Status;Motivo da Rejeição;Data Inicial;Val. Unit.;Data de Encerramento;Estab;Vendedor;Valor Total;Região;Família;Data Resposta
566708;1,51664E+13;Hospital Português (Salvador/Ba) (H. Português);BA;56143;zoladex la 10,8mg depot c/ser. preenchida;ASTRAZENECA DO BRASIL LTDA;7,89621E+12;zoladex la 10,8mg;ASTRAZENECA DO BRASIL LTDA;10;Perdido;;02/02/2026;R$ 1.509,04;02/02/2026;Filial;3069-Bruna Faria;R$ 15.090,40;Nordeste;Medicamentos;02/02/2026
566716;4,54E+13;Unimed Sorocaba (Clin. Nais);SP;72946;evrysdi 60mg/80ml frs;SEM VINCULO;7,61333E+12;evrysdi 0,75mg ml x 80 ml po solução oral;ROCHE;2;Perdido;;02/02/2026;R$ 56.125,89;02/02/2026;Filial;50481-Vanusa Garcia;R$ 112.251,78;Sudeste;Medicamentos;02/02/2026
566708;1,51664E+13;Hospital Português (Salvador/Ba) (H. Português);BA;103857;zejula 100mg capsula dura;GLAXOSMITHKLINE BRASIL LTDA;7,89602E+12;zejula 100mg;GLAXOSMITHKLINE BRASIL LTDA;28;Confirmado;;02/02/2026;R$ 418,87;02/02/2026;Filial;3069-Bruna Faria;R$ 11.728,46;Nordeste;Medicamentos;02/02/2026
566708;1,51664E+13;Hospital Português (Salvador/Ba) (H. Português);BA;98068;somatuline autogel 120mg sol inj lib prol 0,5 ml ser. preenchida;IPSEN FARMACEUTICA LTDA;SOMATULINE AUTOGEL 120MG SOL INJ LIB PROL SER PREENC X 0,5ML;somatuli;IPSEN FARMACEUTICA LTDA;4;Confirmado;;02/02/2026;R$ 4.085,92;02/02/2026;Filial;3069-Bruna Faria;R$ 16.343,68;Nordeste;Medicamentos;02/02/2026
566708;1,51664E+13;Hospital Português (Salvador/Ba) (H. Português);BA;81280;perjeta 420mg 14ml fa;ROCHE;7,89623E+12;perjeta 420mg;ROCHE;3;Perdido;;02/02/2026;R$ 15.405,06;02/02/2026;Filial;3069-Bruna Faria;R$ 46.215,18;Nordeste;Medicamentos;02/02/2026
566761;6,26384E+13;Trasmontano (Transmontano);SP;47628;secuquinumabe 150 mg/ml ser (cosentyx);SEM VINCULO;;;;0;Perdido;Produto sem estoque;02/02/2026;R$ 0,00;02/02/2026;FarmaPontual;50481-Vanusa Garcia;R$ 0,00;Sudeste;Medicamentos;02/02/2026
566761;6,26384E+13;Trasmontano (Transmontano);SP;15077;aflibercepte 40mg/ml (eylia)*;SEM VINCULO;7,89111E+12;eylia 1fa 0,278ml + 1agu 40mg/ml inj;BAYER S A ;10;Confirmado;;02/02/2026;R$ 2.022,10;02/02/2026;Filial;50481-Vanusa Garcia;R$ 20.221,00;Sudeste;Medicamentos;02/02/2026
566761;6,26384E+13;Trasmontano (Transmontano);SP;37905;pertuzumabe 420mg fr amp 14ml (perjeta);SEM VINCULO;7,89623E+12;perjeta 420mg;ROCHE;3;Confirmado;;02/02/2026;R$ 13.900,00;02/02/2026;Filial;50481-Vanusa Garcia;R$ 41.700,00;Sudeste;Medicamentos;02/02/2026
566224;1,23072E+13;Hosp. Santa Casa Maceió (Maceió/Al) (Sta Casa - Sccd);AL;46508;herceptin 600 mg/5ml fr/amp sc roche;SEM VINCULO;7,89623E+12;herceptin 600 mg sol inj sc ct fa vd trans x 5 ml;ROCHE;1;Perdido;;30/01/2026;R$ 12.532,00;30/01/2026;FarmaPontual;50478-Adriana Araujo;R$ 12.532,00;Nordeste;Medicamentos;30/01/2026
566550;8,86257E+13;Hosp. Mãe De Deus (Rede Suplementar) Porto Alegr (Hmd);RS;73897;cabometyx 60mg cp rev ;IPSEN FARMACEUTICA LTDA;CABOMETYX 60 MG COM REV CT FR PLAS PEAD OPC X 30;cabometyx;IPSEN FARMACEUTICA LTDA;30;Perdido;;30/01/2026;R$ 1.172,83;02/02/2026;Filial;50483-Mateus Augusto;R$ 35.185,00;Sul;Medicamentos;30/01/2026
