PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Janeiro 2024 - 12 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
Item de estoque,,,
AAS 100 MG COM CT BL AL PLAS TRANS X 30,AAS 100 MG COM CT BL AL PLAS TRANS X 30,"7,560","R$27.908,40"
ACETATO DE ABIRATERONA 250 MG COM CT FR PLAS PEAD OPC X 120,ACETATO DE ABIRATERONA 250 MG COM CT FR PLAS PEAD OPC X 120,650,"R$470.846,00"
ACIDO ZOLEDRONICO 4MG PO LIOF SOL INJ IV CX FA VD AMBX5ML,ACIDO ZOLEDRONICO 4MG PO LIOF SOL INJ IV CX FA VD AMBX5ML,600,"R$36.991,17"
"ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS","ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS",806,"R$4.445.406,28"
ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,"3,103","R$6.379.065,60"
ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,"7,308","R$6.023.252,88"
ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,7,"R$30.882,54"
ADDERA D3 1FR 10ML 400UI/GOTA,ADDERA D3 1FR 10ML 400UI/GOTA,24,"R$903,36"
ADDERA D3 7000 UI CAP MOLE CT BL AL PLAS OPC X 30,ADDERA D3 7000 UI CAP MOLE CT BL AL PLAS OPC X 30,10,"R$759,90"
AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,"1,014","R$9.909,77"
ALECENSA 150 MG CAP DURA CT BL AL AL X 224,ALECENSA 150 MG CAP DURA CT BL AL AL X 224,242,"R$7.199.192,69"
ALEKTOS 20 MG COM CT BL AL/AL X 20,ALEKTOS 20 MG COM CT BL AL/AL X 20,"5,040","R$150.552,00"
ALEKTOS 30COM 20MG,ALEKTOS 30COM 20MG,"1,200","R$53.671,20"
"ALFAST 0,544 MG/ML SOL INJ CX  10 AMP VD TRANS X 5 ML","ALFAST 0,544 MG/ML SOL INJ CX  10 AMP VD TRANS X 5 ML",144,"R$22.865,74"
ALIVIUM 100 MG/ML SUS OR CT FR GOT PLAS PEAD/PEBD X 20 ML,ALIVIUM 100 MG/ML SUS OR CT FR GOT PLAS PEAD/PEBD X 20 ML,"9,856","R$83.300,67"
ALIVIUM 50 MG/ML SUS OR CT FR GOT PLAS PEBD/PEAD OPC X 30 ML,ALIVIUM 50 MG/ML SUS OR CT FR GOT PLAS PEBD/PEAD OPC X 30 ML,"3,136","R$22.844,56"
AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,8,"R$980,15"
AMO PROTECT ENV C/28 - BABYDEAS,AMO PROTECT ENV C/28 - BABYDEAS,"3,150","R$78.697,50"
AMO PROTECT ENV C/8 - BABYDEAS,AMO PROTECT ENV C/8 - BABYDEAS,"10,274","R$98.858,60"
ANFORICIN B 50 MG PO LIOF INJ CX 25 FA VD TRANS + SOL DIL,ANFORICIN B 50 MG PO LIOF INJ CX 25 FA VD TRANS + SOL DIL,12,"R$9.461,60"
ANYA 1 MG COM REV CT BL AL PLAS PVC TRANS X 30,ANYA 1 MG COM REV CT BL AL PLAS PVC TRANS X 30,"9,189","R$76.220,05"
"APRAZ 0,5 MG COM CT STRIP AL/AL X 30","APRAZ 0,5 MG COM CT STRIP AL/AL X 30",15,"R$244,50"
ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,432,"R$158.220,92"
ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,801,"R$357.094,73"
ARTRINID 100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS,ARTRINID 100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS,"2,509","R$447.087,45"
ARTRINID 50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24,ARTRINID 50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24,194,"R$1.662,77"
ARTRINID 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML,ARTRINID 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML,795,"R$39.779,99"
"ATURGYL 0,5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML","ATURGYL 0,5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML",384,"R$5.088,00"
"AVAMYS 0,5 MG/G SUS SPR NAS CT FR VD AMB X 120 DOSES","AVAMYS 0,5 MG/G SUS SPR NAS CT FR VD AMB X 120 DOSES",21,"R$1.011,98"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,38,"R$340.298,40"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,101,"R$211.753,88"
"AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML","AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML",25,"R$5.370,25"
AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,130,"R$13.498,81"
BACLOFENO 10 MG COM CT BL AL PLAS TRANS X 20,BACLOFENO 10 MG COM CT BL AL PLAS TRANS X 20,528,"R$1.741,10"
BAC-SULFITRIN 80MG/ML + 16MG/ML SOL INJ IV CX 50 AMP VDX5ML,BAC-SULFITRIN 80MG/ML + 16MG/ML SOL INJ IV CX 50 AMP VDX5ML,118,"R$19.616,19"
BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,"4,402","R$3.797.228,31"
BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,208,"R$1.204.370,29"
BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,"1,237","R$3.564.232,34"
BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,140,"R$19.786,82"
"BETA-LONG (3,00+3,00) MG/ML SUS INJ CT 25  AMP VD AMB X 1ML","BETA-LONG (3,00+3,00) MG/ML SUS INJ CT 25  AMP VD AMB X 1ML",118,"R$14.318,68"
