PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Outubro 2025 - 10 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
Item de estoque,,,
"ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS","ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS",261,"R$1.440.039,73"
ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,"1,430","R$2.920.527,82"
ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,"2,900","R$2.377.914,29"
ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,7,"R$30.882,54"
AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,240,"R$1.488,00"
ALECENSA 150 MG CAP DURA CT BL AL AL X 224,ALECENSA 150 MG CAP DURA CT BL AL AL X 224,129,"R$3.836.236,92"
ALEKTOS 30COM 20MG,ALEKTOS 30COM 20MG,480,"R$20.112,00"
AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,8,"R$980,15"
AMO PROTECT ENV C/28 - BABYDEAS,AMO PROTECT ENV C/28 - BABYDEAS,"3,150","R$78.697,50"
AMO PROTECT ENV C/8 - BABYDEAS,AMO PROTECT ENV C/8 - BABYDEAS,"10,274","R$98.858,60"
ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,103,"R$28.405,60"
ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,346,"R$144.067,86"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,15,"R$151.993,69"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,1,"R$2.617,04"
"AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML","AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML",25,"R$5.370,25"
AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,48,"R$3.180,48"
BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,"1,771","R$1.507.635,88"
