PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por item
01 Abril 2024 - 11 Fevereiro 2026


Item ,Descrição do item ,Qtd. vendida ,Receita total 
Item de estoque,,,
AAS 100 MG COM CT BL AL PLAS TRANS X 30,AAS 100 MG COM CT BL AL PLAS TRANS X 30,"7,560","R$27.908,40"
ACETATO DE ABIRATERONA 250 MG COM CT FR PLAS PEAD OPC X 120,ACETATO DE ABIRATERONA 250 MG COM CT FR PLAS PEAD OPC X 120,650,"R$470.846,00"
ACIDO ZOLEDRONICO 4MG PO LIOF SOL INJ IV CX FA VD AMBX5ML,ACIDO ZOLEDRONICO 4MG PO LIOF SOL INJ IV CX FA VD AMBX5ML,578,"R$34.854,74"
"ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS","ACTEMRA SC 162MG/ 0,9ML SOL INJ CT 4 SER PREENC VD TRANS",806,"R$4.445.406,28"
ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,ACTEMRA (200MG/10ML) 20 MG/ML SOL DIL INFUS IV FR VD X10ML,"3,057","R$6.282.596,74"
ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,ACTEMRA (80MG/ 4ML) 20MG/ML SOL DIL INFUS IV FA VD TRANSX4ML,"7,276","R$5.997.045,50"
ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,ACTEMRA(400MG/ 20ML) 20MG/ML SOL DIL INFUS IV CT FA VD TRANS,7,"R$30.882,54"
ADDERA D3 1FR 10ML 400UI/GOTA,ADDERA D3 1FR 10ML 400UI/GOTA,24,"R$903,36"
AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,AD-TIL(50000+10000)UI/ML SOL OR FR GOT PLA AMBX20ML,"1,014","R$9.909,77"
ALECENSA 150 MG CAP DURA CT BL AL AL X 224,ALECENSA 150 MG CAP DURA CT BL AL AL X 224,230,"R$6.855.363,50"
ALEKTOS 20 MG COM CT BL AL/AL X 20,ALEKTOS 20 MG COM CT BL AL/AL X 20,"5,040","R$150.552,00"
ALEKTOS 30COM 20MG,ALEKTOS 30COM 20MG,"1,200","R$53.671,20"
"ALFAST 0,544 MG/ML SOL INJ CX  10 AMP VD TRANS X 5 ML","ALFAST 0,544 MG/ML SOL INJ CX  10 AMP VD TRANS X 5 ML",27,"R$4.716,01"
ALIVIUM 100 MG/ML SUS OR CT FR GOT PLAS PEAD/PEBD X 20 ML,ALIVIUM 100 MG/ML SUS OR CT FR GOT PLAS PEAD/PEBD X 20 ML,"9,856","R$83.300,67"
ALIVIUM 50 MG/ML SUS OR CT FR GOT PLAS PEBD/PEAD OPC X 30 ML,ALIVIUM 50 MG/ML SUS OR CT FR GOT PLAS PEBD/PEAD OPC X 30 ML,"3,136","R$22.844,56"
AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,AMO PROTECT DISPLEY 10 ENV C/8 - BABYDEAS,8,"R$980,15"
AMO PROTECT ENV C/28 - BABYDEAS,AMO PROTECT ENV C/28 - BABYDEAS,"3,150","R$78.697,50"
AMO PROTECT ENV C/8 - BABYDEAS,AMO PROTECT ENV C/8 - BABYDEAS,"10,274","R$98.858,60"
ANFORICIN B 50 MG PO LIOF INJ CX 25 FA VD TRANS + SOL DIL,ANFORICIN B 50 MG PO LIOF INJ CX 25 FA VD TRANS + SOL DIL,12,"R$9.461,60"
ANYA 1 MG COM REV CT BL AL PLAS PVC TRANS X 30,ANYA 1 MG COM REV CT BL AL PLAS PVC TRANS X 30,"9,189","R$76.220,05"
"APRAZ 0,5 MG COM CT STRIP AL/AL X 30","APRAZ 0,5 MG COM CT STRIP AL/AL X 30",15,"R$244,50"
ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,ARAMIN 10 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML,384,"R$140.303,33"
ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,ARIMIDEX 1 MG COM REV CT BL AL PLAS PVC TRANS X 28,736,"R$331.667,74"
ARTRINID 100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS,ARTRINID 100 MG PO LIOF SOL INJ IV CT 50 FA VD TRANS,886,"R$162.840,04"
ARTRINID 50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24,ARTRINID 50 MG CAP DURA CT BL AL PLAS PVC TRANS X 24,189,"R$1.626,27"
ARTRINID 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML,ARTRINID 50 MG/ML SOL INJ IM CT 50 AMP VD AMB X 2 ML,793,"R$39.650,00"
"ATURGYL 0,5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML","ATURGYL 0,5 MG/ML SOL NASAL CT FR PLAS OPC SPRAY X 15 ML",384,"R$5.088,00"
"AVAMYS 0,5 MG/G SUS SPR NAS CT FR VD AMB X 120 DOSES","AVAMYS 0,5 MG/G SUS SPR NAS CT FR VD AMB X 120 DOSES",3,"R$151,62"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 16 ML,35,"R$309.899,66"
AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,AVASTIN 25 MG/ML SOL DIL INFUS IV CT FA VD TRANS X 4 ML,101,"R$211.753,88"
"AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML","AZENTEX 0,05 MG/ML SOL INFUS IV CT FR PLAS TRANS X 100 ML",25,"R$5.370,25"
AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,AZITRIMICINA DI-HIDRATADA 500MG PO LIOF SOL INFUS 10 FA VD,110,"R$11.314,60"
BACLOFENO 10 MG COM CT BL AL PLAS TRANS X 20,BACLOFENO 10 MG COM CT BL AL PLAS TRANS X 20,172,"R$595,88"
BAC-SULFITRIN 80MG/ML + 16MG/ML SOL INJ IV CX 50 AMP VDX5ML,BAC-SULFITRIN 80MG/ML + 16MG/ML SOL INJ IV CX 50 AMP VDX5ML,70,"R$12.296,40"
BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,BENLYSTA 120 MG PO LIOF INJ IN CT FA VD INC,"4,221","R$3.656.309,29"
BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,BENLYSTA 200 MG/ML SOL INJ CT 4 SER PREENC X 1ML + CAN APLIC,182,"R$1.065.506,54"
BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,BENLYSTA 400 MG PO LIOF INJ CT FA VD INC,"1,157","R$3.353.470,61"
BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,BETACRIS 1 MG/ML SOL INJ IV CT 10 EST X AMP VD TRANS X 5 ML,81,"R$10.990,89"
"BETA-LONG (3,00+3,00) MG/ML SUS INJ CT 25  AMP VD AMB X 1ML","BETA-LONG (3,00+3,00) MG/ML SUS INJ CT 25  AMP VD AMB X 1ML",116,"R$13.920,00"
BETAPROSPAN 5 MG/ML  + 2 MG/ML SUS INJ AMP X 1ML+SER+AGU,BETAPROSPAN 5 MG/ML  + 2 MG/ML SUS INJ AMP X 1ML+SER+AGU,464,"R$1.346,40"
